PV [kW],Battery [kWh],Inverter [kW],CAPEX [€],Self-Consumption [%],Self-Sufficiency [%],Earning for Discharge to Grid,Earning for PV Feed-in to Grid,Opportunity Cost of Not PV Feed-in to Grid,Savings from Avoided Grid Import Cost,Cost for Covering Load from Grid,Cost for Charging Battery from Grid,Total Earnings,Energy Cost,Fixed Annual Cost [€],Net Bill [€],Optimization Profit,Cycles,Grid Import [kWh],Grid Export [kWh],Opt. Profit / kWh Battery [€/kWh],Opt. Profit / kWp PV [€/kW],Opt. Profit / kW Inverter [€/kW],Opt. Profit / CAPEX,Cycles / CAPEX [cycle/€]
5.0,6.0,7.0,10015.0,54.2,86.17,60.91,154.69,84.54,405.72,125.54,5.72,215.6,131.26,160.2,-75.85,245.32,292.84,468.65,3038.1,40.8871,49.0645,35.0461,0.024496,0.02924
5.0,6.0,8.0,10205.0,54.2,86.17,60.91,154.69,84.54,405.72,125.54,5.72,215.6,131.26,160.2,-75.85,245.32,292.84,468.65,3038.1,40.8871,49.0645,30.6653,0.024039,0.028696
5.0,6.0,9.0,10395.0,54.2,86.17,60.91,154.69,84.54,405.72,125.54,5.72,215.6,131.26,160.2,-75.85,245.32,292.84,468.65,3038.1,40.8871,49.0645,27.2581,0.0236,0.028171
5.0,6.0,10.0,10585.0,54.2,86.17,60.91,154.69,84.54,405.72,125.54,5.72,215.6,131.26,160.2,-75.85,245.32,292.84,468.65,3038.1,40.8871,49.0645,24.5323,0.023176,0.027666
5.0,7.0,4.0,9795.0,58.01,87.97,87.74,144.29,94.94,422.46,108.8,5.68,232.03,114.48,160.2,-42.65,284.86,283.18,410.44,2955.35,40.6946,56.9724,71.2155,0.029082,0.02891
5.0,7.0,5.0,9985.0,58.01,87.95,88.39,144.29,94.94,422.15,109.1,5.68,232.68,114.78,160.2,-42.3,284.91,283.18,411.23,2956.14,40.702,56.9828,56.9828,0.028534,0.02836
5.0,7.0,6.0,10175.0,58.01,87.94,88.58,144.29,94.94,422.04,109.21,5.68,232.87,114.89,160.2,-42.22,284.88,283.18,411.47,2956.38,40.6975,56.9765,47.4804,0.027998,0.02783
5.0,7.0,7.0,10365.0,58.01,87.94,88.58,144.29,94.94,422.04,109.21,5.68,232.87,114.89,160.2,-42.22,284.88,283.18,411.47,2956.38,40.6975,56.9765,40.6975,0.027485,0.02732
5.0,7.0,8.0,10555.0,58.01,87.94,88.58,144.29,94.94,422.04,109.21,5.68,232.87,114.89,160.2,-42.22,284.88,283.18,411.47,2956.38,40.6975,56.9765,35.6103,0.02699,0.026829
5.0,7.0,9.0,10745.0,58.01,87.94,88.58,144.29,94.94,422.04,109.21,5.68,232.87,114.89,160.2,-42.22,284.88,283.18,411.47,2956.38,40.6975,56.9765,31.6536,0.026513,0.026354
