PV,Battery,Inverter,PV_to_Battery,Battery_to_Inverter,PV_to_Inverter
5,10,10,0.5,1.0,0.5
6,3,3,2.0,1.0,2.0
6,3,4,2.0,0.75,1.5
6,3,5,2.0,0.6,1.2
6,3,6,2.0,0.5,1.0
6,4,3,1.5,1.33,2.0
6,4,4,1.5,1.0,1.5
6,4,5,1.5,0.8,1.2
6,4,6,1.5,0.67,1.0
6,4,7,1.5,0.57,0.86
6,4,8,1.5,0.5,0.75
6,5,3,1.2,1.67,2.0
6,5,4,1.2,1.25,1.5
6,5,5,1.2,1.0,1.2
6,5,6,1.2,0.83,1.0
6,5,7,1.2,0.71,0.86
6,5,8,1.2,0.62,0.75
6,5,9,1.2,0.56,0.67
6,5,10,1.2,0.5,0.6
6,6,3,1.0,2.0,2.0
6,6,4,1.0,1.5,1.5
6,6,5,1.0,1.2,1.2
6,6,6,1.0,1.0,1.0
6,6,7,1.0,0.86,0.86
6,6,8,1.0,0.75,0.75
6,6,9,1.0,0.67,0.67
6,6,10,1.0,0.6,0.6
6,6,11,1.0,0.55,0.55
6,6,12,1.0,0.5,0.5
6,7,4,0.86,1.75,1.5
6,7,5,0.86,1.4,1.2
6,7,6,0.86,1.17,1.0
6,7,7,0.86,1.0,0.86
6,7,8,0.86,0.88,0.75
6,7,9,0.86,0.78,0.67
6,7,10,0.86,0.7,0.6
6,7,11,0.86,0.64,0.55
6,7,12,0.86,0.58,0.5
6,8,4,0.75,2.0,1.5
6,8,5,0.75,1.6,1.2
6,8,6,0.75,1.33,1.0
6,8,7,0.75,1.14,0.86
6,8,8,0.75,1.0,0.75
6,8,9,0.75,0.89,0.67
6,8,10,0.75,0.8,0.6
6,8,11,0.75,0.73,0.55
6,8,12,0.75,0.67,0.5
6,9,5,0.67,1.8,1.2
6,9,6,0.67,1.5,1.0
6,9,7,0.67,1.29,0.86
6,9,8,0.67,1.12,0.75
6,9,9,0.67,1.0,0.67
6,9,10,0.67,0.9,0.6
6,9,11,0.67,0.82,0.55
6,9,12,0.67,0.75,0.5
6,10,5,0.6,2.0,1.2
6,10,6,0.6,1.67,1.0
6,10,7,0.6,1.43,0.86
6,10,8,0.6,1.25,0.75
6,10,9,0.6,1.11,0.67
6,10,10,0.6,1.0,0.6
6,10,11,0.6,0.91,0.55
6,10,12,0.6,0.83,0.5
6,11,6,0.55,1.83,1.0
6,11,7,0.55,1.57,0.86
6,11,8,0.55,1.38,0.75
6,11,9,0.55,1.22,0.67
6,11,10,0.55,1.1,0.6
6,11,11,0.55,1.0,0.55
6,11,12,0.55,0.92,0.5
6,12,6,0.5,2.0,1.0
6,12,7,0.5,1.71,0.86
6,12,8,0.5,1.5,0.75
6,12,9,0.5,1.33,0.67
6,12,10,0.5,1.2,0.6
6,12,11,0.5,1.09,0.55
6,12,12,0.5,1.0,0.5
7,4,4,1.75,1.0,1.75
7,4,5,1.75,0.8,1.4
7,4,6,1.75,0.67,1.17
7,4,7,1.75,0.57,1.0
7,4,8,1.75,0.5,0.88
7,5,4,1.4,1.25,1.75
7,5,5,1.4,1.0,1.4
7,5,6,1.4,0.83,1.17
7,5,7,1.4,0.71,1.0
7,5,8,1.4,0.62,0.88
7,5,9,1.4,0.56,0.78
7,5,10,1.4,0.5,0.7
7,6,4,1.17,1.5,1.75
7,6,5,1.17,1.2,1.4
7,6,6,1.17,1.0,1.17
7,6,7,1.17,0.86,1.0
7,6,8,1.17,0.75,0.88
7,6,9,1.17,0.67,0.78
7,6,10,1.17,0.6,0.7
7,6,11,1.17,0.55,0.64
7,6,12,1.17,0.5,0.58
7,7,4,1.0,1.75,1.75
7,7,5,1.0,1.4,1.4
7,7,6,1.0,1.17,1.17
7,7,7,1.0,1.0,1.0
7,7,8,1.0,0.88,0.88
7,7,9,1.0,0.78,0.78
7,7,10,1.0,0.7,0.7
7,7,11,1.0,0.64,0.64
7,7,12,1.0,0.58,0.58
7,7,13,1.0,0.54,0.54
7,7,14,1.0,0.5,0.5
7,8,4,0.88,2.0,1.75
7,8,5,0.88,1.6,1.4
7,8,6,0.88,1.33,1.17
7,8,7,0.88,1.14,1.0
7,8,8,0.88,1.0,0.88
7,8,9,0.88,0.89,0.78
7,8,10,0.88,0.8,0.7
